model,accuracy,precision_macro,recall_macro,f1_macro
Baseline DT,0.8333333333333334,0.875,0.8333333333333333,0.8285714285714285
PCA + DT,0.9166666666666666,0.9285714285714286,0.9166666666666667,0.916083916083916
